League,Team,TriggerScore,TriggerRole,SampleSize,NextWin_Pct,NextLoss_Pct,NextDraw_Pct,NextOver15_Pct,NextOver25_Pct,NextGG_Pct,NextHomeScore_Pct,NextAwayScore_Pct,Hits_NextWin,Hits_NextLoss,Hits_NextDraw,Hits_NextOver15,Hits_NextOver25,Hits_NextGG,Hits_NextHomeScore,Hits_NextAwayScore
Spain - Virtual,ELC,1:1,Home,37,27,35,38,62,38,51,70,70,10,13,14,23,14,19,26,26
Italy - Virtual,JUV,1:0,Home,33,55,27,18,67,42,45,76,64,18,9,6,22,14,15,25,21
Italy - Virtual,TOR,1:1,Home,32,31,31,38,63,28,41,59,63,10,10,12,20,9,13,19,20
Italy - Virtual,SAS,0:1,Home,32,50,28,22,63,34,34,69,56,16,9,7,20,11,11,22,18
Spain - Virtual,LEV,1:1,Home,31,32,16,52,74,42,65,77,74,10,5,16,23,13,20,24,23
Italy - Virtual,PAR,1:0,Away,31,45,29,26,61,35,42,61,68,14,9,8,19,11,13,19,21
Italy - Virtual,TOR,1:1,Away,31,29,39,32,77,39,55,74,77,9,12,10,24,12,17,23,24
Spain - Virtual,RBB,1:1,Away,30,27,43,30,60,23,40,67,60,8,13,9,18,7,12,20,18
Italy - Virtual,TOR,0:0,Home,30,17,37,47,57,20,37,50,60,5,11,14,17,6,11,15,18
England - Virtual,FOR,1:1,Away,29,34,55,10,79,62,62,86,76,10,16,3,23,18,18,25,22
England - Virtual,EVE,1:1,Away,29,45,17,38,69,38,48,59,79,13,5,11,20,11,14,17,23
Spain - Virtual,RAY,1:1,Away,29,24,28,48,62,7,38,66,59,7,8,14,18,2,11,19,17
Spain - Virtual,ATM,1:0,Away,29,28,41,31,59,28,41,76,55,8,12,9,17,8,12,22,16
Spain - Virtual,ALA,1:1,Home,28,29,36,36,75,43,57,79,75,8,10,10,21,12,16,22,21
Spain - Virtual,MAL,1:1,Home,28,18,46,36,68,36,43,61,64,5,13,10,19,10,12,17,18
Spain - Virtual,MAL,1:0,Away,28,36,46,18,68,46,46,71,71,10,13,5,19,13,13,20,20
Spain - Virtual,GIR,1:0,Home,28,54,11,36,71,39,54,82,68,15,3,10,20,11,15,23,19
Italy - Virtual,UDI,1:1,Home,28,36,36,29,82,46,46,64,75,10,10,8,23,13,13,18,21
Germany - Virtual,FCA,1:1,Away,28,36,46,18,61,36,39,71,61,10,13,5,17,10,11,20,17
Germany - Virtual,SVW,1:0,Away,28,11,68,21,68,43,43,79,61,3,19,6,19,12,12,22,17
England - Virtual,BUR,1:0,Home,27,56,19,26,81,56,63,89,70,15,5,7,22,15,17,24,19
England - Virtual,ARS,1:1,Away,27,48,33,19,70,52,56,78,74,13,9,5,19,14,15,21,20
England - Virtual,SUN,1:1,Home,27,41,33,26,63,33,44,67,67,11,9,7,17,9,12,18,18
Spain - Virtual,GET,1:1,Away,27,30,52,19,63,48,52,78,67,8,14,5,17,13,14,21,18
Spain - Virtual,OSA,1:1,Away,27,33,37,30,56,22,30,59,56,9,10,8,15,6,8,16,15
Spain - Virtual,VIL,1:1,Away,27,56,11,33,70,56,48,52,78,15,3,9,19,15,13,14,21
Spain - Virtual,VCF,1:1,Home,27,26,41,33,63,33,44,52,78,7,11,9,17,9,12,14,21
Spain - Virtual,ESP,2:0,Away,27,33,37,30,63,37,44,63,74,9,10,8,17,10,12,17,20
Italy - Virtual,BFC,1:0,Home,27,56,22,22,63,41,33,74,48,15,6,6,17,11,9,20,13
Italy - Virtual,INT,1:0,Home,27,48,22,30,74,41,48,78,67,13,6,8,20,11,13,21,18
Italy - Virtual,VER,1:0,Away,27,33,37,30,74,41,52,70,78,9,10,8,20,11,14,19,21
Italy - Virtual,NAP,1:1,Home,27,44,26,30,70,37,48,67,70,12,7,8,19,10,13,18,19
Italy - Virtual,ROM,1:1,Home,27,44,33,22,70,48,44,70,67,12,9,6,19,13,12,19,18
Italy - Virtual,CAG,1:1,Away,27,41,41,19,78,63,56,93,63,11,11,5,21,17,15,25,17
Italy - Virtual,UDI,0:1,Away,27,33,37,30,67,26,33,78,48,9,10,8,18,7,9,21,13
Italy - Virtual,JUV,0:1,Away,27,33,19,48,70,33,52,63,70,9,5,13,19,9,14,17,19
Italy - Virtual,USC,0:1,Home,27,30,44,26,67,41,44,78,59,8,12,7,18,11,12,21,16
Germany - Virtual,HSV,1:1,Home,27,48,22,30,70,52,52,74,67,13,6,8,19,14,14,20,18
Spain - Virtual,OVI,1:1,Away,26,8,54,38,69,42,58,92,58,2,14,10,18,11,15,24,15
Spain - Virtual,SEV,1:1,Away,26,23,38,38,73,35,46,77,54,6,10,10,19,9,12,20,14
Spain - Virtual,OVI,1:1,Home,26,27,46,27,73,27,38,69,65,7,12,7,19,7,10,18,17
Spain - Virtual,RAY,1:1,Home,26,31,50,19,65,42,46,58,77,8,13,5,17,11,12,15,20
Spain - Virtual,BIL,1:0,Away,26,23,38,38,62,35,46,69,58,6,10,10,16,9,12,18,15
Spain - Virtual,OSA,1:0,Away,26,35,35,31,46,23,31,65,46,9,9,8,12,6,8,17,12
Spain - Virtual,RAY,1:0,Away,26,27,50,23,54,35,42,73,62,7,13,6,14,9,11,19,16
Spain - Virtual,ATM,0:0,Away,26,38,46,15,69,58,50,73,73,10,12,4,18,15,13,19,19
Italy - Virtual,BFC,0:0,Away,26,38,27,35,38,23,27,46,58,10,7,9,10,6,7,12,15
Italy - Virtual,COM,1:0,Home,26,23,31,46,73,50,65,73,81,6,8,12,19,13,17,19,21
Italy - Virtual,NAP,1:0,Away,26,31,54,15,65,42,38,65,65,8,14,4,17,11,10,17,17
Italy - Virtual,LEC,1:0,Away,26,27,62,12,69,50,38,77,58,7,16,3,18,13,10,20,15
Italy - Virtual,FIO,1:1,Away,26,19,15,65,62,35,58,65,65,5,4,17,16,9,15,17,17
Italy - Virtual,GEN,1:1,Away,26,38,42,19,50,35,35,77,42,10,11,5,13,9,9,20,11
Italy - Virtual,USC,1:1,Away,26,19,46,35,73,31,50,81,58,5,12,9,19,8,13,21,15
France - Virtual,NAN,1:1,Away,26,31,38,31,73,46,50,77,65,8,10,8,19,12,13,20,17
England - Virtual,BOU,1:0,Away,25,28,56,16,72,60,44,84,52,7,14,4,18,15,11,21,13
Spain - Virtual,FCB,2:1,Home,25,56,24,20,56,52,44,80,52,14,6,5,14,13,11,20,13
Spain - Virtual,ESP,0:1,Away,25,24,36,40,76,44,56,80,72,6,9,10,19,11,14,20,18
Spain - Virtual,ELC,1:1,Away,25,24,36,40,64,44,52,72,68,6,9,10,16,11,13,18,17
Spain - Virtual,CEL,1:1,Away,25,44,40,16,60,44,32,60,64,11,10,4,15,11,8,15,16
Spain - Virtual,ATM,1:1,Away,25,44,24,32,60,24,36,64,60,11,6,8,15,6,9,16,15
Spain - Virtual,GIR,1:1,Away,25,28,40,32,76,40,44,72,64,7,10,8,19,10,11,18,16
Spain - Virtual,OVI,1:0,Away,25,32,44,24,76,36,44,76,60,8,11,6,19,9,11,19,15
Italy - Virtual,UDI,1:0,Away,25,28,32,40,60,40,48,60,64,7,8,10,15,10,12,15,16
Italy - Virtual,COM,1:0,Away,25,36,40,24,84,48,52,80,72,9,10,6,21,12,13,20,18
Italy - Virtual,CAG,1:1,Home,25,24,36,40,68,40,60,72,76,6,9,10,17,10,15,18,19
Italy - Virtual,LAZ,1:1,Home,25,44,32,24,48,32,36,68,56,11,8,6,12,8,9,17,14
Italy - Virtual,VER,1:1,Home,25,36,32,32,60,40,40,68,60,9,8,8,15,10,10,17,15
Italy - Virtual,GEN,1:1,Home,25,28,44,28,88,60,72,80,92,7,11,7,22,15,18,20,23
Italy - Virtual,JUV,1:1,Away,25,40,48,12,56,44,44,64,76,10,12,3,14,11,11,16,19
Italy - Virtual,LEC,0:1,Home,25,24,52,24,60,28,32,64,64,6,13,6,15,7,8,16,16
Germany - Virtual,BMU,2:1,Away,25,36,40,24,76,60,52,72,68,9,10,6,19,15,13,18,17
Germany - Virtual,MAI,0:1,Away,25,32,24,44,60,36,48,68,64,8,6,11,15,9,12,17,16
Germany - Virtual,TSG,1:1,Home,25,36,32,32,76,32,40,72,60,9,8,8,19,8,10,18,15
Germany - Virtual,BMG,1:1,Away,25,32,20,48,68,24,52,68,68,8,5,12,17,6,13,17,17
Germany - Virtual,UNI,1:0,Away,25,32,52,16,60,32,32,72,52,8,13,4,15,8,8,18,13
France - Virtual,LYO,1:0,Home,25,40,36,24,64,48,52,72,72,10,9,6,16,12,13,18,18
France - Virtual,LEN,1:1,Away,25,36,44,20,72,52,60,68,88,9,11,5,18,13,15,17,22
France - Virtual,LIL,1:1,Away,25,28,40,32,72,48,52,72,64,7,10,8,18,12,13,18,16
England - Virtual,SUN,0:1,Home,24,42,25,33,67,38,50,75,67,10,6,8,16,9,12,18,16
England - Virtual,BHA,1:1,Home,24,29,42,29,83,54,67,79,79,7,10,7,20,13,16,19,19
England - Virtual,WHU,1:1,Home,24,21,46,33,83,58,75,88,88,5,11,8,20,14,18,21,21
England - Virtual,ARS,1:1,Home,24,46,29,25,63,33,50,79,67,11,7,6,15,8,12,19,16
England - Virtual,EVE,1:1,Home,24,38,38,25,67,46,50,63,71,9,9,6,16,11,12,15,17
England - Virtual,ARS,2:1,Home,24,54,8,38,88,58,71,83,75,13,2,9,21,14,17,20,18
Spain - Virtual,OVI,0:1,Home,24,42,17,42,54,38,38,58,50,10,4,10,13,9,9,14,12
Spain - Virtual,ESP,0:1,Home,24,33,38,29,67,38,46,63,79,8,9,7,16,9,11,15,19
Spain - Virtual,VCF,0:1,Away,24,33,46,21,63,38,33,63,58,8,11,5,15,9,8,15,14
Spain - Virtual,RSO,1:1,Away,24,46,29,25,58,33,46,75,63,11,7,6,14,8,11,18,15
Spain - Virtual,OSA,1:1,Home,24,42,33,25,67,42,46,75,67,10,8,6,16,10,11,18,16
Spain - Virtual,CEL,1:1,Home,24,29,42,29,58,38,50,63,79,7,10,7,14,9,12,15,19
Spain - Virtual,FCB,1:0,Home,24,50,29,21,58,33,38,63,63,12,7,5,14,8,9,15,15
Spain - Virtual,OSA,1:0,Home,24,25,50,25,63,46,50,67,75,6,12,6,15,11,12,16,18
Spain - Virtual,SEV,1:0,Home,24,21,42,38,83,46,58,71,83,5,10,9,20,11,14,17,20
Spain - Virtual,MAL,1:0,Home,24,46,25,29,79,54,71,88,79,11,6,7,19,13,17,21,19
Italy - Virtual,UDI,0:0,Away,24,38,38,25,54,33,21,54,54,9,9,6,13,8,5,13,13
Italy - Virtual,PAR,1:1,Home,24,38,29,33,71,25,46,71,67,9,7,8,17,6,11,17,16
Italy - Virtual,UDI,1:1,Away,24,33,42,25,63,33,50,75,71,8,10,6,15,8,12,18,17
Italy - Virtual,SAS,1:1,Away,24,33,33,33,63,33,38,67,63,8,8,8,15,8,9,16,15
Italy - Virtual,LEC,1:1,Away,24,21,58,21,71,42,50,75,71,5,14,5,17,10,12,18,17
Italy - Virtual,VER,1:1,Away,24,33,42,25,58,50,50,67,71,8,10,6,14,12,12,16,17
Italy - Virtual,NAP,2:1,Away,24,29,50,21,54,42,33,71,50,7,12,5,13,10,8,17,12
Italy - Virtual,BFC,0:1,Away,24,25,25,50,63,21,46,67,63,6,6,12,15,5,11,16,15
